"correct_type" "svm" "tree" "maxent"
"63" "Positive" "Positive" "Positive" "Positive"
"64" "Positive" "Positive" "Positive" "Positive"
"65" "Positive" "Positive" "Positive" "Positive"
"66" "Positive" "Positive" "Positive" "Positive"
"67" "Positive" "Negative" "Positive" "Positive"
"68" "Positive" "Positive" "Positive" "Positive"
"69" "Positive" "Positive" "Positive" "Positive"
"70" "Positive" "Positive" "Positive" "Positive"
"71" "Positive" "Positive" "Positive" "Positive"
"72" "Positive" "Positive" "Positive" "Positive"
"73" "Positive" "Negative" "Positive" "Positive"
"74" "Positive" "Positive" "Positive" "Positive"
"75" "Positive" "Negative" "Positive" "Positive"
"76" "Positive" "Positive" "Positive" "Positive"
"77" "Positive" "Negative" "Positive" "Positive"
"78" "Positive" "Positive" "Positive" "Positive"
"79" "Positive" "Negative" "Positive" "Negative"
"80" "Positive" "Negative" "Positive" "Negative"
"81" "Positive" "Positive" "Positive" "Positive"
"82" "Positive" "Negative" "Positive" "Negative"
"83" "Positive" "Negative" "Positive" "Positive"
"84" "Positive" "Positive" "Positive" "Positive"
"85" "Positive" "Negative" "Positive" "Positive"
"86" "Positive" "Positive" "Positive" "Positive"
"87" "Positive" "Positive" "Positive" "Positive"
"88" "Positive" "Positive" "Positive" "Positive"
"89" "Positive" "Negative" "Positive" "Positive"
"90" "Positive" "Positive" "Positive" "Positive"
"91" "Positive" "Positive" "Positive" "Positive"
"92" "Positive" "Negative" "Positive" "Negative"
"93" "Positive" "Negative" "Positive" "Positive"
"94" "Positive" "Positive" "Positive" "Positive"
"95" "Positive" "Negative" "Positive" "Positive"
"96" "Positive" "Positive" "Positive" "Positive"
"97" "Positive" "Positive" "Positive" "Positive"
"98" "Positive" "Positive" "Positive" "Positive"
"99" "Positive" "Positive" "Positive" "Positive"
"100" "Positive" "Positive" "Positive" "Positive"
"101" "Positive" "Positive" "Positive" "Positive"
"102" "Positive" "Negative" "Positive" "Negative"
"103" "Positive" "Negative" "Positive" "Positive"
"104" "Positive" "Negative" "Negative" "Negative"
"105" "Positive" "Negative" "Positive" "Positive"
"106" "Positive" "Positive" "Positive" "Positive"
"107" "Positive" "Negative" "Positive" "Positive"
"108" "Positive" "Positive" "Positive" "Positive"
"109" "Positive" "Negative" "Positive" "Positive"
"110" "Positive" "Positive" "Positive" "Positive"
"111" "Positive" "Positive" "Positive" "Positive"
"112" "Positive" "Negative" "Positive" "Negative"
"113" "Positive" "Positive" "Negative" "Positive"
"114" "Positive" "Positive" "Positive" "Positive"
"115" "Positive" "Positive" "Positive" "Positive"
"116" "Positive" "Negative" "Negative" "Positive"
"117" "Positive" "Negative" "Positive" "Positive"
"118" "Positive" "Positive" "Positive" "Positive"
"119" "Positive" "Positive" "Positive" "Positive"
"120" "Positive" "Positive" "Positive" "Positive"
"121" "Positive" "Positive" "Positive" "Positive"
"122" "Positive" "Negative" "Positive" "Negative"
"123" "Positive" "Positive" "Positive" "Positive"
"124" "Positive" "Negative" "Positive" "Positive"
"125" "Positive" "Positive" "Positive" "Positive"
"126" "Positive" "Positive" "Positive" "Positive"
"127" "Positive" "Positive" "Positive" "Positive"
"128" "Positive" "Positive" "Positive" "Positive"
"129" "Positive" "Positive" "Positive" "Positive"
"130" "Positive" "Positive" "Positive" "Positive"
"131" "Positive" "Positive" "Negative" "Positive"
"132" "Positive" "Negative" "Positive" "Negative"
"133" "Positive" "Positive" "Negative" "Positive"
"134" "Positive" "Positive" "Positive" "Positive"
"135" "Positive" "Positive" "Positive" "Positive"
"136" "Positive" "Positive" "Positive" "Positive"
"137" "Positive" "Positive" "Positive" "Positive"
"138" "Positive" "Positive" "Positive" "Positive"
"139" "Positive" "Positive" "Positive" "Positive"
"140" "Positive" "Positive" "Positive" "Positive"
"141" "Positive" "Positive" "Positive" "Positive"
"142" "Positive" "Positive" "Positive" "Positive"
"143" "Positive" "Positive" "Positive" "Positive"
"144" "Positive" "Positive" "Positive" "Positive"
"145" "Positive" "Positive" "Positive" "Positive"
"146" "Positive" "Positive" "Positive" "Positive"
"147" "Positive" "Negative" "Negative" "Negative"
"148" "Positive" "Positive" "Positive" "Positive"
"149" "Positive" "Negative" "Negative" "Negative"
"150" "Positive" "Positive" "Positive" "Positive"
"151" "Positive" "Positive" "Positive" "Positive"
"152" "Positive" "Positive" "Positive" "Positive"
"153" "Positive" "Negative" "Positive" "Negative"
"154" "Positive" "Positive" "Positive" "Positive"
"155" "Positive" "Positive" "Positive" "Positive"
"156" "Positive" "Negative" "Negative" "Positive"
"157" "Positive" "Negative" "Positive" "Negative"
"158" "Positive" "Positive" "Positive" "Positive"
"159" "Positive" "Positive" "Positive" "Positive"
"160" "Positive" "Positive" "Negative" "Positive"
"161" "Positive" "Positive" "Positive" "Positive"
"162" "Positive" "Negative" "Positive" "Positive"
"163" "Positive" "Negative" "Positive" "Negative"
"164" "Positive" "Positive" "Positive" "Positive"
"165" "Positive" "Positive" "Positive" "Positive"
"166" "Positive" "Positive" "Positive" "Positive"
"167" "Positive" "Positive" "Positive" "Positive"
"168" "Positive" "Positive" "Positive" "Positive"
"169" "Positive" "Positive" "Positive" "Positive"
"170" "Positive" "Positive" "Positive" "Positive"
"171" "Positive" "Positive" "Positive" "Positive"
"172" "Positive" "Positive" "Positive" "Positive"
"173" "Positive" "Negative" "Positive" "Negative"
"174" "Positive" "Negative" "Negative" "Negative"
"175" "Positive" "Negative" "Positive" "Negative"
"176" "Positive" "Positive" "Negative" "Positive"
"177" "Positive" "Positive" "Positive" "Positive"
"178" "Positive" "Positive" "Positive" "Positive"
"179" "Positive" "Positive" "Positive" "Positive"
"180" "Positive" "Positive" "Positive" "Positive"
"181" "Positive" "Positive" "Positive" "Positive"
"182" "Positive" "Positive" "Positive" "Positive"
"183" "Positive" "Negative" "Positive" "Negative"
"184" "Positive" "Positive" "Negative" "Positive"
"185" "Positive" "Negative" "Positive" "Positive"
"186" "Positive" "Negative" "Positive" "Positive"
"187" "Positive" "Negative" "Positive" "Positive"
"188" "Positive" "Positive" "Positive" "Positive"
"189" "Positive" "Positive" "Positive" "Positive"
"190" "Positive" "Positive" "Positive" "Positive"
"191" "Positive" "Positive" "Positive" "Positive"
"192" "Positive" "Positive" "Positive" "Positive"
"193" "Positive" "Negative" "Positive" "Negative"
"194" "Positive" "Negative" "Positive" "Positive"
"195" "Positive" "Negative" "Positive" "Positive"
"196" "Positive" "Positive" "Positive" "Positive"
"197" "Positive" "Positive" "Positive" "Positive"
"198" "Positive" "Negative" "Positive" "Positive"
"199" "Positive" "Positive" "Positive" "Positive"
"200" "Positive" "Positive" "Positive" "Positive"
"201" "Positive" "Positive" "Positive" "Positive"
"202" "Positive" "Positive" "Positive" "Positive"
"203" "Positive" "Negative" "Positive" "Negative"
"204" "Positive" "Positive" "Positive" "Positive"
"205" "Positive" "Positive" "Positive" "Positive"
"206" "Positive" "Positive" "Positive" "Positive"
"207" "Positive" "Negative" "Positive" "Positive"
"208" "Positive" "Positive" "Positive" "Positive"
"209" "Positive" "Positive" "Positive" "Positive"
"210" "Positive" "Positive" "Negative" "Positive"
"211" "Positive" "Positive" "Positive" "Positive"
"212" "Positive" "Positive" "Positive" "Positive"
"213" "Positive" "Negative" "Positive" "Negative"
"214" "Positive" "Negative" "Positive" "Positive"
"215" "Positive" "Positive" "Positive" "Positive"
"216" "Positive" "Positive" "Positive" "Positive"
"217" "Positive" "Positive" "Positive" "Positive"
"218" "Positive" "Positive" "Positive" "Positive"
"219" "Positive" "Positive" "Positive" "Positive"
"220" "Positive" "Negative" "Positive" "Positive"
"221" "Positive" "Positive" "Positive" "Positive"
"222" "Positive" "Positive" "Negative" "Positive"
"223" "Positive" "Positive" "Positive" "Positive"
"224" "Positive" "Negative" "Negative" "Positive"
"225" "Positive" "Positive" "Positive" "Positive"
"226" "Positive" "Positive" "Positive" "Positive"
"227" "Positive" "Positive" "Positive" "Positive"
"228" "Positive" "Positive" "Positive" "Positive"
"229" "Positive" "Positive" "Positive" "Positive"
"230" "Positive" "Positive" "Positive" "Positive"
"231" "Positive" "Positive" "Positive" "Positive"
"232" "Positive" "Positive" "Positive" "Positive"
"233" "Positive" "Positive" "Positive" "Positive"
"234" "Positive" "Negative" "Positive" "Negative"
"235" "Positive" "Positive" "Positive" "Positive"
"236" "Positive" "Negative" "Positive" "Negative"
"237" "Positive" "Positive" "Positive" "Positive"
"238" "Positive" "Positive" "Positive" "Positive"
"239" "Positive" "Negative" "Positive" "Positive"
"240" "Positive" "Negative" "Positive" "Negative"
"241" "Positive" "Positive" "Negative" "Positive"
"242" "Positive" "Positive" "Negative" "Positive"
"243" "Positive" "Positive" "Positive" "Positive"
"244" "Positive" "Negative" "Positive" "Negative"
"245" "Positive" "Negative" "Positive" "Positive"
"246" "Positive" "Positive" "Positive" "Positive"
"247" "Positive" "Positive" "Positive" "Positive"
"248" "Positive" "Positive" "Positive" "Positive"
"249" "Positive" "Negative" "Positive" "Positive"
"250" "Positive" "Negative" "Positive" "Positive"
"251" "Positive" "Positive" "Positive" "Positive"
"252" "Positive" "Negative" "Positive" "Positive"
"253" "Positive" "Positive" "Positive" "Positive"
"254" "Positive" "Negative" "Positive" "Negative"
"255" "Positive" "Negative" "Positive" "Negative"
"256" "Positive" "Positive" "Positive" "Positive"
"257" "Positive" "Negative" "Positive" "Negative"
"258" "Positive" "Positive" "Positive" "Positive"
"259" "Positive" "Negative" "Positive" "Positive"
"260" "Positive" "Negative" "Negative" "Positive"
"261" "Positive" "Negative" "Negative" "Positive"
"262" "Positive" "Positive" "Negative" "Positive"
"263" "Positive" "Negative" "Positive" "Negative"
"264" "Positive" "Negative" "Positive" "Negative"
"265" "Positive" "Negative" "Positive" "Positive"
"266" "Positive" "Positive" "Positive" "Positive"
"267" "Positive" "Positive" "Positive" "Positive"
"268" "Positive" "Positive" "Negative" "Positive"
"269" "Positive" "Negative" "Negative" "Negative"
"270" "Positive" "Positive" "Positive" "Positive"
"271" "Positive" "Negative" "Positive" "Positive"
"272" "Positive" "Positive" "Positive" "Positive"
"273" "Positive" "Positive" "Positive" "Positive"
"274" "Positive" "Negative" "Positive" "Negative"
"275" "Positive" "Positive" "Positive" "Positive"
"276" "Positive" "Positive" "Positive" "Positive"
"277" "Positive" "Positive" "Positive" "Positive"
"278" "Positive" "Positive" "Positive" "Positive"
"279" "Positive" "Positive" "Positive" "Positive"
"280" "Positive" "Positive" "Positive" "Positive"
"281" "Positive" "Positive" "Positive" "Positive"
"282" "Positive" "Positive" "Positive" "Positive"
"283" "Positive" "Positive" "Positive" "Positive"
"284" "Positive" "Negative" "Positive" "Negative"
"285" "Positive" "Positive" "Positive" "Positive"
"286" "Positive" "Positive" "Positive" "Positive"
"287" "Positive" "Negative" "Positive" "Positive"
"288" "Positive" "Positive" "Positive" "Positive"
"289" "Positive" "Positive" "Positive" "Positive"
"290" "Positive" "Positive" "Positive" "Positive"
"291" "Positive" "Negative" "Positive" "Positive"
"292" "Positive" "Positive" "Positive" "Positive"
"293" "Positive" "Positive" "Positive" "Positive"
"294" "Positive" "Negative" "Positive" "Negative"
"295" "Positive" "Positive" "Positive" "Positive"
"296" "Positive" "Positive" "Positive" "Positive"
"297" "Positive" "Negative" "Positive" "Positive"
"298" "Positive" "Positive" "Positive" "Positive"
"299" "Positive" "Positive" "Negative" "Positive"
"300" "Positive" "Positive" "Positive" "Positive"
"301" "Positive" "Positive" "Positive" "Positive"
"302" "Positive" "Positive" "Positive" "Positive"
"303" "Positive" "Negative" "Positive" "Positive"
"304" "Positive" "Positive" "Positive" "Positive"
"305" "Positive" "Negative" "Positive" "Negative"
"306" "Positive" "Positive" "Positive" "Positive"
"307" "Positive" "Positive" "Positive" "Positive"
"308" "Positive" "Positive" "Negative" "Positive"
"309" "Positive" "Positive" "Positive" "Positive"
"310" "Positive" "Positive" "Positive" "Positive"
"311" "Positive" "Negative" "Positive" "Positive"
"312" "Positive" "Positive" "Positive" "Positive"
"313" "Positive" "Positive" "Positive" "Positive"
"314" "Positive" "Positive" "Positive" "Positive"
"315" "Positive" "Negative" "Positive" "Negative"
"316" "Positive" "Positive" "Positive" "Positive"
"317" "Positive" "Positive" "Positive" "Positive"
"318" "Positive" "Positive" "Positive" "Positive"
"319" "Positive" "Positive" "Positive" "Positive"
"320" "Positive" "Positive" "Positive" "Positive"
"321" "Positive" "Positive" "Positive" "Positive"
"322" "Positive" "Positive" "Positive" "Positive"
"323" "Positive" "Positive" "Positive" "Positive"
"324" "Positive" "Negative" "Positive" "Negative"
"325" "Positive" "Negative" "Positive" "Negative"
"326" "Positive" "Negative" "Positive" "Positive"
"327" "Positive" "Positive" "Positive" "Positive"
"328" "Positive" "Positive" "Positive" "Positive"
"329" "Positive" "Positive" "Positive" "Positive"
"330" "Positive" "Positive" "Positive" "Positive"
"331" "Positive" "Negative" "Negative" "Negative"
"332" "Positive" "Negative" "Positive" "Positive"
"333" "Positive" "Negative" "Positive" "Positive"
"334" "Positive" "Positive" "Positive" "Positive"
"335" "Positive" "Negative" "Positive" "Negative"
"336" "Positive" "Negative" "Positive" "Positive"
"337" "Positive" "Positive" "Positive" "Positive"
"338" "Positive" "Negative" "Positive" "Negative"
"339" "Positive" "Positive" "Positive" "Positive"
"340" "Positive" "Negative" "Positive" "Negative"
"341" "Positive" "Negative" "Positive" "Positive"
"342" "Positive" "Negative" "Positive" "Positive"
"343" "Positive" "Negative" "Positive" "Positive"
"344" "Positive" "Negative" "Positive" "Negative"
"345" "Positive" "Positive" "Positive" "Positive"
"346" "Positive" "Negative" "Positive" "Negative"
"347" "Positive" "Negative" "Positive" "Positive"
"348" "Positive" "Negative" "Positive" "Positive"
"349" "Positive" "Positive" "Positive" "Positive"
"350" "Positive" "Positive" "Positive" "Positive"
"351" "Positive" "Positive" "Positive" "Positive"
"352" "Positive" "Positive" "Positive" "Positive"
"353" "Positive" "Negative" "Positive" "Positive"
"354" "Positive" "Negative" "Positive" "Positive"
"355" "Positive" "Positive" "Positive" "Positive"
"356" "Positive" "Negative" "Positive" "Negative"
"357" "Positive" "Negative" "Positive" "Positive"
"358" "Positive" "Negative" "Positive" "Positive"
"359" "Positive" "Positive" "Positive" "Positive"
"360" "Positive" "Negative" "Positive" "Positive"
"361" "Positive" "Negative" "Positive" "Positive"
"362" "Positive" "Positive" "Positive" "Positive"
"363" "Positive" "Positive" "Positive" "Positive"
"364" "Positive" "Positive" "Positive" "Positive"
"365" "Positive" "Positive" "Positive" "Positive"
"366" "Positive" "Negative" "Positive" "Negative"
"367" "Positive" "Positive" "Positive" "Positive"
"368" "Positive" "Positive" "Positive" "Positive"
"369" "Positive" "Negative" "Positive" "Negative"
"370" "Positive" "Positive" "Positive" "Positive"
"371" "Positive" "Positive" "Positive" "Positive"
"372" "Positive" "Positive" "Positive" "Positive"
"373" "Positive" "Positive" "Positive" "Positive"
"374" "Positive" "Positive" "Positive" "Positive"
"375" "Positive" "Positive" "Positive" "Positive"
"376" "Positive" "Negative" "Positive" "Negative"
"377" "Positive" "Positive" "Positive" "Positive"
"378" "Positive" "Positive" "Positive" "Positive"
"379" "Positive" "Negative" "Positive" "Positive"
"380" "Positive" "Negative" "Positive" "Positive"
"381" "Positive" "Positive" "Positive" "Positive"
"382" "Positive" "Positive" "Positive" "Positive"
"383" "Positive" "Positive" "Positive" "Positive"
"384" "Positive" "Positive" "Positive" "Positive"
"385" "Positive" "Positive" "Positive" "Positive"
"386" "Positive" "Negative" "Positive" "Negative"
"387" "Positive" "Positive" "Positive" "Positive"
"388" "Positive" "Positive" "Positive" "Positive"
"389" "Positive" "Negative" "Negative" "Negative"
"390" "Positive" "Positive" "Positive" "Positive"
"391" "Positive" "Positive" "Positive" "Positive"
"392" "Positive" "Positive" "Positive" "Positive"
"393" "Positive" "Negative" "Positive" "Positive"
"394" "Positive" "Positive" "Positive" "Positive"
"395" "Positive" "Positive" "Positive" "Positive"
"396" "Positive" "Positive" "Negative" "Positive"
"397" "Positive" "Positive" "Positive" "Positive"
"398" "Positive" "Positive" "Positive" "Positive"
"399" "Positive" "Negative" "Positive" "Negative"
"400" "Positive" "Negative" "Positive" "Positive"
"401" "Positive" "Negative" "Positive" "Positive"
"402" "Positive" "Positive" "Positive" "Positive"
"403" "Positive" "Positive" "Positive" "Positive"
"404" "Positive" "Positive" "Positive" "Positive"
"405" "Positive" "Positive" "Positive" "Positive"
"406" "Positive" "Positive" "Positive" "Positive"
"407" "Positive" "Positive" "Positive" "Positive"
"408" "Positive" "Positive" "Positive" "Positive"
"409" "Positive" "Positive" "Positive" "Positive"
"410" "Positive" "Positive" "Positive" "Positive"
"411" "Positive" "Positive" "Positive" "Positive"
"412" "Positive" "Negative" "Positive" "Negative"
"413" "Positive" "Negative" "Positive" "Positive"
"414" "Positive" "Positive" "Positive" "Positive"
"415" "Positive" "Positive" "Positive" "Positive"
"416" "Positive" "Positive" "Positive" "Positive"
"417" "Positive" "Negative" "Positive" "Negative"
"418" "Positive" "Positive" "Negative" "Positive"
"419" "Positive" "Positive" "Positive" "Positive"
"420" "Positive" "Positive" "Negative" "Positive"
"421" "Positive" "Positive" "Negative" "Positive"
"422" "Positive" "Negative" "Positive" "Positive"
"423" "Positive" "Positive" "Positive" "Positive"
"424" "Positive" "Positive" "Positive" "Positive"
"425" "Positive" "Negative" "Positive" "Positive"
"426" "Positive" "Positive" "Positive" "Positive"
"427" "Positive" "Negative" "Positive" "Negative"
"428" "Positive" "Positive" "Positive" "Positive"
"429" "Positive" "Positive" "Positive" "Positive"
"430" "Positive" "Positive" "Positive" "Positive"
"431" "Positive" "Negative" "Positive" "Negative"
"432" "Positive" "Negative" "Positive" "Positive"
"433" "Positive" "Positive" "Positive" "Positive"
"434" "Positive" "Positive" "Positive" "Positive"
"435" "Positive" "Negative" "Negative" "Negative"
"436" "Positive" "Positive" "Positive" "Positive"
"437" "Positive" "Negative" "Positive" "Negative"
"438" "Positive" "Positive" "Positive" "Positive"
"439" "Positive" "Negative" "Positive" "Positive"
"440" "Positive" "Negative" "Positive" "Positive"
"441" "Positive" "Positive" "Negative" "Positive"
"442" "Positive" "Negative" "Positive" "Positive"
"443" "Positive" "Negative" "Positive" "Positive"
"444" "Positive" "Positive" "Positive" "Positive"
"445" "Positive" "Negative" "Negative" "Positive"
"446" "Positive" "Negative" "Positive" "Positive"
"447" "Positive" "Negative" "Positive" "Negative"
"448" "Positive" "Negative" "Positive" "Positive"
"449" "Positive" "Positive" "Positive" "Positive"
"450" "Positive" "Negative" "Positive" "Positive"
"451" "Positive" "Negative" "Positive" "Negative"
"452" "Positive" "Positive" "Positive" "Positive"
"453" "Positive" "Positive" "Positive" "Positive"
"454" "Positive" "Positive" "Positive" "Positive"
"455" "Positive" "Positive" "Positive" "Positive"
"456" "Positive" "Positive" "Positive" "Positive"
"457" "Positive" "Negative" "Positive" "Negative"
"458" "Positive" "Positive" "Positive" "Positive"
"459" "Positive" "Positive" "Positive" "Positive"
"460" "Positive" "Positive" "Positive" "Positive"
"461" "Positive" "Positive" "Positive" "Positive"
"462" "Positive" "Positive" "Positive" "Positive"
"463" "Positive" "Positive" "Positive" "Positive"
"464" "Positive" "Positive" "Positive" "Positive"
"465" "Positive" "Positive" "Positive" "Positive"
"466" "Positive" "Positive" "Positive" "Positive"
"467" "Positive" "Negative" "Positive" "Negative"
"468" "Positive" "Positive" "Positive" "Positive"
"469" "Positive" "Positive" "Negative" "Positive"
"470" "Positive" "Negative" "Positive" "Negative"
"471" "Positive" "Positive" "Positive" "Positive"
"472" "Positive" "Positive" "Positive" "Positive"
"473" "Positive" "Negative" "Positive" "Positive"
"474" "Positive" "Positive" "Positive" "Positive"
"475" "Positive" "Positive" "Positive" "Positive"
"476" "Positive" "Positive" "Positive" "Positive"
"477" "Positive" "Negative" "Positive" "Negative"
"478" "Positive" "Positive" "Positive" "Positive"
"479" "Positive" "Positive" "Positive" "Positive"
"480" "Positive" "Positive" "Positive" "Positive"
"481" "Positive" "Positive" "Positive" "Positive"
"482" "Positive" "Positive" "Positive" "Positive"
"483" "Positive" "Positive" "Negative" "Positive"
"484" "Positive" "Negative" "Positive" "Negative"
"485" "Positive" "Positive" "Positive" "Positive"
"486" "Positive" "Positive" "Positive" "Positive"
"487" "Positive" "Positive" "Positive" "Positive"
"488" "Positive" "Negative" "Positive" "Negative"
"489" "Positive" "Negative" "Positive" "Positive"
"490" "Positive" "Positive" "Positive" "Positive"
"491" "Positive" "Negative" "Negative" "Negative"
"492" "Positive" "Positive" "Positive" "Positive"
"493" "Positive" "Positive" "Positive" "Positive"
"494" "Positive" "Positive" "Negative" "Positive"
"495" "Positive" "Negative" "Positive" "Positive"
"496" "Positive" "Positive" "Positive" "Positive"
"497" "Positive" "Positive" "Positive" "Positive"
"498" "Positive" "Negative" "Positive" "Negative"
"499" "Positive" "Negative" "Positive" "Positive"
"500" "Positive" "Positive" "Positive" "Positive"
"501" "Positive" "Negative" "Positive" "Negative"
"502" "Positive" "Negative" "Positive" "Negative"
"503" "Positive" "Positive" "Positive" "Positive"
"504" "Positive" "Negative" "Positive" "Positive"
"505" "Positive" "Positive" "Positive" "Positive"
"506" "Positive" "Negative" "Positive" "Negative"
"507" "Positive" "Negative" "Positive" "Negative"
"508" "Positive" "Negative" "Positive" "Negative"
"509" "Positive" "Negative" "Positive" "Positive"
"510" "Positive" "Positive" "Positive" "Positive"
"511" "Positive" "Positive" "Positive" "Positive"
"512" "Positive" "Positive" "Positive" "Positive"
"513" "Positive" "Positive" "Positive" "Positive"
"514" "Positive" "Positive" "Negative" "Positive"
"515" "Positive" "Negative" "Positive" "Positive"
"516" "Positive" "Positive" "Positive" "Positive"
"517" "Positive" "Positive" "Positive" "Positive"
"518" "Positive" "Negative" "Positive" "Negative"
"519" "Positive" "Negative" "Positive" "Negative"
"520" "Positive" "Positive" "Positive" "Positive"
"521" "Positive" "Positive" "Positive" "Positive"
"522" "Positive" "Positive" "Positive" "Positive"
"523" "Positive" "Positive" "Positive" "Positive"
"524" "Positive" "Positive" "Positive" "Positive"
"525" "Positive" "Positive" "Positive" "Positive"
"526" "Positive" "Negative" "Positive" "Positive"
"527" "Positive" "Positive" "Positive" "Positive"
"528" "Positive" "Negative" "Positive" "Positive"
"529" "Positive" "Negative" "Positive" "Negative"
"530" "Positive" "Positive" "Positive" "Positive"
"531" "Positive" "Negative" "Positive" "Positive"
"532" "Positive" "Negative" "Positive" "Positive"
"533" "Positive" "Positive" "Positive" "Positive"
"534" "Positive" "Negative" "Positive" "Positive"
"535" "Positive" "Negative" "Positive" "Positive"
"536" "Positive" "Negative" "Positive" "Negative"
"537" "Positive" "Positive" "Positive" "Positive"
"538" "Positive" "Negative" "Positive" "Positive"
"539" "Positive" "Negative" "Positive" "Negative"
"540" "Positive" "Positive" "Positive" "Positive"
"541" "Positive" "Negative" "Positive" "Negative"
"542" "Positive" "Positive" "Positive" "Positive"
"543" "Positive" "Positive" "Positive" "Positive"
"544" "Positive" "Positive" "Positive" "Positive"
"545" "Positive" "Negative" "Positive" "Negative"
"546" "Positive" "Positive" "Positive" "Positive"
"547" "Positive" "Negative" "Positive" "Negative"
"548" "Positive" "Positive" "Negative" "Positive"
"549" "Positive" "Negative" "Positive" "Negative"
"550" "Positive" "Positive" "Positive" "Positive"
"551" "Positive" "Positive" "Positive" "Positive"
"552" "Positive" "Positive" "Positive" "Positive"
"553" "Positive" "Positive" "Positive" "Positive"
"554" "Positive" "Positive" "Positive" "Positive"
"555" "Positive" "Positive" "Positive" "Positive"
"556" "Positive" "Negative" "Positive" "Negative"
"557" "Positive" "Negative" "Positive" "Positive"
"558" "Positive" "Positive" "Positive" "Positive"
"559" "Positive" "Negative" "Positive" "Negative"
"560" "Positive" "Positive" "Positive" "Positive"
"561" "Positive" "Positive" "Positive" "Positive"
"562" "Positive" "Negative" "Positive" "Positive"
"563" "Positive" "Positive" "Positive" "Positive"
"564" "Positive" "Negative" "Positive" "Positive"
"565" "Positive" "Positive" "Negative" "Positive"
"566" "Positive" "Positive" "Positive" "Positive"
"567" "Positive" "Positive" "Positive" "Positive"
"568" "Positive" "Positive" "Positive" "Positive"
"569" "Positive" "Negative" "Positive" "Negative"
"570" "Positive" "Positive" "Positive" "Positive"
"571" "Positive" "Positive" "Positive" "Positive"
"572" "Positive" "Negative" "Positive" "Positive"
"573" "Positive" "Positive" "Positive" "Positive"
"574" "Positive" "Positive" "Positive" "Positive"
"575" "Positive" "Positive" "Positive" "Positive"
"576" "Positive" "Positive" "Positive" "Positive"
"577" "Positive" "Positive" "Positive" "Positive"
"578" "Positive" "Negative" "Positive" "Positive"
"579" "Positive" "Positive" "Positive" "Positive"
"580" "Positive" "Negative" "Positive" "Negative"
"581" "Positive" "Negative" "Positive" "Negative"
